Scenario,Description,Regimen,EKFC,Dose g,Interval h,Distribution ID,Distribution,CAZ CFR %,AVI weighted %,Joint CFR %,Δ Joint CFR pp,Joint PTA MIC4 %,Δ MIC4 pp,Toxicity %,Δ Toxicity pp,Origin class,Transformation,Review state
CAZ_CL_HIGH,CAZ typical clearance +20%,R12,91–120,2.5,6,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",97.99349604221636,88.14,87.22279683377309,-0.26792875989445974,86.215,-1.5450000000000017,7.074999999999999,-4.745000000000001,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R12,91–120,2.5,6,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.1303813559322,88.14000000000003,86.84512711864407,-0.09434322033898468,86.215,-1.5450000000000017,7.074999999999999,-4.745000000000001,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R12,91–120,2.5,6,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",96.04033088235295,88.13999999999999,84.88735294117647,-0.06323529411764639,86.215,-1.5450000000000017,7.074999999999999,-4.745000000000001,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R12,91–120,2.5,6,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.71616666666667,88.14,88.10791666666667,-0.02575000000000216,86.215,-1.5450000000000017,7.074999999999999,-4.745000000000001,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R13,121–150,2.5,6,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",97.08920844327177,80.39999999999998,79.44467018469658,-0.2924802110817808,78.145,-1.8700000000000045,3.7900000000000005,-3.2549999999999994,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R13,121–150,2.5,6,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",97.70923728813558,80.4,79.17629237288135,-0.09885593220340638,78.145,-1.8700000000000045,3.7900000000000005,-3.2549999999999994,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R13,121–150,2.5,6,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",95.76948529411764,80.40000000000003,77.40823529411766,-0.054742647058830585,78.145,-1.8700000000000045,3.7900000000000005,-3.2549999999999994,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R13,121–150,2.5,6,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.46674999999999,80.4,80.36241666666668,-0.0311666666666639,78.145,-1.8700000000000045,3.7900000000000005,-3.2549999999999994,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
AVI_CL_LOW,AVI typical clearance −20%,R1,0–30,0.625,12,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",93.65485488126649,82.08500000000001,79.95572559366754,7.151596306068598,67.65,1.2250000000000085,9.42,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
AVI_CL_LOW,AVI typical clearance −20%,R1,0–30,0.625,12,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",95.5652966101695,82.08500000000001,80.49364406779661,7.540635593220344,67.65,1.2250000000000085,9.42,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
