model,bsv,regimen,ekfc_class,dose_g,interval_h,mic_mg_l,caz_pta_pct,avi_attainment_pct,joint_pta_pct,toxicity_pct,limiting_component
M2_Chen_2025,structural,R1,0–30,0.625,12,1,99.705,74.205,74.205,6.23,avibactam
M2_Chen_2025,structural,R1,0–30,0.625,12,2,95.80499999999999,74.205,74.205,6.23,avibactam
M2_Chen_2025,structural,R1,0–30,0.625,12,4,75.835,74.205,70.85000000000001,6.23,avibactam
M2_Chen_2025,structural,R1,0–30,0.625,12,8,39.25,74.205,39.25,6.23,ceftazidime
M2_Chen_2025,structural,R1,0–30,0.625,12,16,12.36,74.205,12.36,6.23,ceftazidime
M2_Chen_2025,structural,R1,0–30,0.625,12,32,2.765,74.205,2.765,6.23,ceftazidime
M2_Chen_2025,structural,R1,0–30,0.625,12,64,0.625,74.205,0.625,6.23,ceftazidime
M2_Chen_2025,structural,R2,0–30,0.625,8,0.0625,100.0,88.38000000000001,88.38000000000001,14.69,avibactam
M2_Chen_2025,structural,R2,0–30,0.625,8,0.125,100.0,88.38000000000001,88.38000000000001,14.69,avibactam
M2_Chen_2025,structural,R2,0–30,0.625,8,0.25,100.0,88.38000000000001,88.38000000000001,14.69,avibactam
M2_Chen_2025,structural,R2,0–30,0.625,8,0.5,100.0,88.38000000000001,88.38000000000001,14.69,avibactam
M2_Chen_2025,structural,R2,0–30,0.625,8,1,99.95,88.38000000000001,88.38000000000001,14.69,avibactam
M2_Chen_2025,structural,R2,0–30,0.625,8,2,98.98,88.38000000000001,88.38000000000001,14.69,avibactam
M2_Chen_2025,structural,R2,0–30,0.625,8,4,90.35,88.38000000000001,86.835,14.69,avibactam
M2_Chen_2025,structural,R2,0–30,0.625,8,8,61.629999999999995,88.38000000000001,61.61,14.69,ceftazidime
M2_Chen_2025,structural,R2,0–30,0.625,8,16,25.674999999999997,88.38000000000001,25.674999999999997,14.69,ceftazidime
M2_Chen_2025,structural,R2,0–30,0.625,8,32,6.705,88.38000000000001,6.705,14.69,ceftazidime
M2_Chen_2025,structural,R2,0–30,0.625,8,64,1.47,88.38000000000001,1.47,14.69,ceftazidime
M2_Chen_2025,structural,R5,31–60,0.625,8,0.0625,100.0,69.245,69.245,1.375,avibactam
M2_Chen_2025,structural,R5,31–60,0.625,8,0.125,100.0,69.245,69.245,1.375,avibactam
M2_Chen_2025,structural,R5,31–60,0.625,8,0.25,100.0,69.245,69.245,1.375,avibactam
M2_Chen_2025,structural,R5,31–60,0.625,8,0.5,100.0,69.245,69.245,1.375,avibactam
M2_Chen_2025,structural,R5,31–60,0.625,8,1,99.705,69.245,69.245,1.375,avibactam
M2_Chen_2025,structural,R5,31–60,0.625,8,2,94.86,69.245,69.245,1.375,avibactam
M2_Chen_2025,structural,R5,31–60,0.625,8,4,69.88499999999999,69.245,64.69,1.375,avibactam
M2_Chen_2025,structural,R5,31–60,0.625,8,8,27.765,69.245,27.76,1.375,ceftazidime
M2_Chen_2025,structural,R5,31–60,0.625,8,16,4.1450000000000005,69.245,4.1450000000000005,1.375,ceftazidime
M2_Chen_2025,structural,R5,31–60,0.625,8,32,0.26,69.245,0.26,1.375,ceftazidime
M2_Chen_2025,structural,R5,31–60,0.625,8,64,0.0,69.245,0.0,1.375,ceftazidime
M2_Chen_2025,structural,R6,31–60,1.25,12,0.0625,100.0,82.08,82.08,3.705,avibactam
M2_Chen_2025,structural,R6,31–60,1.25,12,0.125,100.0,82.08,82.08,3.705,avibactam
M2_Chen_2025,structural,R6,31–60,1.25,12,0.25,100.0,82.08,82.08,3.705,avibactam
M2_Chen_2025,structural,R6,31–60,1.25,12,0.5,100.0,82.08,82.08,3.705,avibactam
M2_Chen_2025,structural,R6,31–60,1.25,12,1,99.965,82.08,82.08,3.705,avibactam
M2_Chen_2025,structural,R6,31–60,1.25,12,2,98.085,82.08,82.08,3.705,avibactam
M2_Chen_2025,structural,R6,31–60,1.25,12,4,83.5,82.08,79.4,3.705,avibactam
M2_Chen_2025,structural,R6,31–60,1.25,12,8,45.235,82.08,45.235,3.705,ceftazidime
M2_Chen_2025,structural,R6,31–60,1.25,12,16,10.305,82.08,10.305,3.705,ceftazidime
M2_Chen_2025,structural,R6,31–60,1.25,12,32,1.015,82.08,1.015,3.705,ceftazidime
M2_Chen_2025,structural,R6,31–60,1.25,12,64,0.025,82.08,0.025,3.705,ceftazidime
M2_Chen_2025,structural,R7,31–60,1.25,8,0.0625,100.0,93.30000000000001,93.30000000000001,13.020000000000001,avibactam
M2_Chen_2025,structural,R7,31–60,1.25,8,0.125,100.0,93.30000000000001,93.30000000000001,13.020000000000001,avibactam
M2_Chen_2025,structural,R7,31–60,1.25,8,0.25,100.0,93.30000000000001,93.30000000000001,13.020000000000001,avibactam
M2_Chen_2025,structural,R7,31–60,1.25,8,0.5,100.0,93.30000000000001,93.30000000000001,13.020000000000001,avibactam
M2_Chen_2025,structural,R7,31–60,1.25,8,1,100.0,93.30000000000001,93.30000000000001,13.020000000000001,avibactam
M2_Chen_2025,structural,R7,31–60,1.25,8,2,99.705,93.30000000000001,93.30000000000001,13.020000000000001,avibactam
M2_Chen_2025,structural,R7,31–60,1.25,8,4,94.86,93.30000000000001,92.345,13.020000000000001,avibactam
M2_Chen_2025,structural,R7,31–60,1.25,8,8,69.88499999999999,93.30000000000001,69.88,13.020000000000001,ceftazidime
M2_Chen_2025,structural,R7,31–60,1.25,8,16,27.765,93.30000000000001,27.765,13.020000000000001,ceftazidime
M2_Chen_2025,structural,R7,31–60,1.25,8,32,4.1450000000000005,93.30000000000001,4.1450000000000005,13.020000000000001,ceftazidime
M2_Chen_2025,structural,R7,31–60,1.25,8,64,0.26,93.30000000000001,0.26,13.020000000000001,ceftazidime
M2_Chen_2025,structural,R8,31–60,2.5,12,0.0625,100.0,97.3,97.3,25.845000000000002,avibactam
M2_Chen_2025,structural,R8,31–60,2.5,12,0.125,100.0,97.3,97.3,25.845000000000002,avibactam
M2_Chen_2025,structural,R8,31–60,2.5,12,0.25,100.0,97.3,97.3,25.845000000000002,avibactam
M2_Chen_2025,structural,R8,31–60,2.5,12,0.5,100.0,97.3,97.3,25.845000000000002,avibactam
M2_Chen_2025,structural,R8,31–60,2.5,12,1,100.0,97.3,97.3,25.845000000000002,avibactam
M2_Chen_2025,structural,R8,31–60,2.5,12,2,99.965,97.3,97.3,25.845000000000002,avibactam
M2_Chen_2025,structural,R8,31–60,2.5,12,4,98.085,97.3,96.825,25.845000000000002,avibactam
M2_Chen_2025,structural,R8,31–60,2.5,12,8,83.5,97.3,83.49499999999999,25.845000000000002,ceftazidime
M2_Chen_2025,structural,R8,31–60,2.5,12,16,45.235,97.3,45.235,25.845000000000002,ceftazidime
M2_Chen_2025,structural,R8,31–60,2.5,12,32,10.305,97.3,10.305,25.845000000000002,ceftazidime
