rho_scenario,target_scenario,regimen,ekfc_class,joint_cfr_median,joint_cfr_p2.5,joint_cfr_p97.5,prediction_interval_width_pp,p_permissible_pct,p_joint_cfr_ge_80_pct
C2_model1,T4_uniform,R7,31–60,91.89,71.75,98.13,26.38,93.3,89.3
C2_model1,T4_uniform,R8,31–60,95.82,80.77,99.01,18.24,70.3,98.0
C2_model1,T4_uniform,R9,61–90,89.29,66.92,97.79,30.88,95.9,77.9
C2_model1,T4_uniform,R10,61–90,95.96,79.88,99.1,19.22,67.4,97.4
C2_model1,T4_uniform,R11,91–120,92.76,72.79,98.55,25.76,90.1,89.5
C2_model1,T4_uniform,R12,91–120,96.4,81.85,99.21,17.36,61.3,98.2
C2_model1,T4_uniform,R13,121–150,93.57,72.09,98.8,26.7,85.8,88.6
C2_model1,T5_triangular,R1,0–30,89.65,73.58,96.17,22.59,81.3,90.4
C2_model1,T5_triangular,R2,0–30,95.34,83.54,98.49,14.95,32.6,99.2
C2_model1,T5_triangular,R5,31–60,77.88,48.94,90.98,42.05,99.9,43.0
C2_model1,T5_triangular,R6,31–60,86.81,62.56,95.25,32.69,99.1,74.4
C2_model1,T5_triangular,R7,31–60,94.26,77.87,98.25,20.37,93.3,96.4
C2_model1,T5_triangular,R8,31–60,96.94,85.0,99.04,14.04,70.3,99.2
C2_model1,T5_triangular,R9,61–90,92.91,73.47,97.93,24.46,95.9,91.0
C2_model1,T5_triangular,R10,61–90,97.17,84.08,99.15,15.07,67.4,99.0
C2_model1,T5_triangular,R11,91–120,95.16,78.16,98.66,20.5,90.1,96.5
C2_model1,T5_triangular,R12,91–120,97.56,85.81,99.25,13.45,61.3,99.4
C2_model1,T5_triangular,R13,121–150,95.7,77.39,98.88,21.49,85.8,96.2
C2_model1,T6_lognormal,R1,0–30,91.53,57.06,96.77,39.72,81.8,88.9
C2_model1,T6_lognormal,R2,0–30,96.06,73.33,98.7,25.37,33.2,95.7
C2_model1,T6_lognormal,R5,31–60,83.51,25.64,92.39,66.75,99.8,62.7
C2_model1,T6_lognormal,R6,31–60,89.98,39.64,95.96,56.32,99.2,80.9
C2_model1,T6_lognormal,R7,31–60,95.52,59.96,98.46,38.49,93.2,92.3
C2_model1,T6_lognormal,R8,31–60,97.56,72.6,99.15,26.55,71.6,96.0
C2_model1,T6_lognormal,R9,61–90,94.6,51.83,98.17,46.34,95.5,88.9
C2_model1,T6_lognormal,R10,61–90,97.78,72.07,99.21,27.14,69.0,95.6
C2_model1,T6_lognormal,R11,91–120,96.45,59.85,98.78,38.94,90.1,92.5
C2_model1,T6_lognormal,R12,91–120,98.1,73.35,99.29,25.94,62.5,95.9
C2_model1,T6_lognormal,R13,121–150,96.8,60.28,98.97,38.69,86.4,91.9
C2_model1,T7_coleman_evidence,R1,0–30,93.69,85.49,97.26,11.77,81.9,99.9
C2_model1,T7_coleman_evidence,R2,0–30,97.09,91.26,98.85,7.58,34.2,100.0
C2_model1,T7_coleman_evidence,R5,31–60,88.19,78.75,92.96,14.21,99.7,96.2
C2_model1,T7_coleman_evidence,R6,31–60,93.1,84.24,96.26,12.02,99.1,99.5
C2_model1,T7_coleman_evidence,R7,31–60,96.87,90.07,98.57,8.5,93.8,100.0
C2_model1,T7_coleman_evidence,R8,31–60,98.31,93.38,99.19,5.82,72.4,100.0
C2_model1,T7_coleman_evidence,R9,61–90,96.4,89.44,98.38,8.94,95.7,100.0
C2_model1,T7_coleman_evidence,R10,61–90,98.42,93.77,99.26,5.49,68.7,100.0
C2_model1,T7_coleman_evidence,R11,91–120,97.64,92.03,98.96,6.93,89.7,100.0
C2_model1,T7_coleman_evidence,R12,91–120,98.68,94.64,99.36,4.72,64.0,100.0
C2_model1,T7_coleman_evidence,R13,121–150,97.89,92.14,99.12,6.98,85.5,100.0
C3_agnostic,T1_point_1,R1,0–30,92.58,84.28,96.62,12.34,83.5,99.8
C3_agnostic,T1_point_1,R2,0–30,96.64,90.58,98.69,8.11,34.4,99.9
C3_agnostic,T1_point_1,R5,31–60,85.45,74.85,91.54,16.69,99.8,85.3
C3_agnostic,T1_point_1,R6,31–60,91.44,81.8,95.64,13.84,99.3,98.9
C3_agnostic,T1_point_1,R7,31–60,96.23,89.18,98.38,9.2,94.1,99.9
C3_agnostic,T1_point_1,R8,31–60,98.0,92.75,99.12,6.38,74.7,100.0
C3_agnostic,T1_point_1,R9,61–90,95.52,87.79,98.12,10.33,96.1,99.9
C3_agnostic,T1_point_1,R10,61–90,98.15,93.08,99.19,6.11,70.1,100.0
C3_agnostic,T1_point_1,R11,91–120,97.05,90.69,98.75,8.06,90.2,99.9
C3_agnostic,T1_point_1,R12,91–120,98.42,93.9,99.29,5.38,63.7,100.0
C3_agnostic,T1_point_1,R13,121–150,97.34,90.86,98.96,8.11,86.4,99.9
C3_agnostic,T2_point_4,R1,0–30,72.48,58.39,84.28,25.89,83.5,12.4
C3_agnostic,T2_point_4,R2,0–30,85.49,73.77,94.81,21.04,34.4,83.6
C3_agnostic,T2_point_4,R5,31–60,42.21,29.67,52.16,22.5,99.8,0.0
C3_agnostic,T2_point_4,R6,31–60,57.75,48.36,71.02,22.66,99.3,0.1
C3_agnostic,T2_point_4,R7,31–60,78.02,64.97,91.17,26.2,94.1,40.2
C3_agnostic,T2_point_4,R8,31–60,87.78,73.71,96.96,23.25,74.7,87.1
C3_agnostic,T2_point_4,R9,61–90,71.17,60.39,85.24,24.85,96.1,11.7
C3_agnostic,T2_point_4,R10,61–90,86.69,73.9,96.95,23.06,70.1,83.2
C3_agnostic,T2_point_4,R11,91–120,78.01,65.48,91.65,26.17,90.2,40.5
C3_agnostic,T2_point_4,R12,91–120,88.08,74.82,97.5,22.68,63.7,87.5
C3_agnostic,T2_point_4,R13,121–150,78.37,64.43,93.44,29.01,86.4,42.1
C3_agnostic,T3_discrete,R1,0–30,90.58,61.83,96.56,34.73,81.5,70.2
C3_agnostic,T3_discrete,R2,0–30,95.27,76.54,98.62,22.09,33.9,93.8
C3_agnostic,T3_discrete,R5,31–60,83.18,33.15,91.98,58.83,99.8,59.2
C3_agnostic,T3_discrete,R6,31–60,89.21,50.12,95.8,45.68,99.3,65.8
C3_agnostic,T3_discrete,R7,31–60,94.66,67.21,98.38,31.18,93.2,79.2
