rho_scenario,target_scenario,ekfc_class,regimen,p_optimal_pct,is_fixed_threshold_choice,mean_utility
C2_model1,T6_lognormal,31–60,R8,17.7,yes,84.07
C2_model1,T6_lognormal,61–90,R9,78.0,no,85.73
C2_model1,T6_lognormal,61–90,R10,22.1,yes,83.42
C2_model1,T6_lognormal,91–120,R11,87.0,no,86.1
C2_model1,T6_lognormal,91–120,R12,13.1,yes,82.68
C2_model1,T6_lognormal,121–150,R13,100.0,yes,85.19
C2_model1,T7_coleman_evidence,0–30,R1,93.0,no,82.18
C2_model1,T7_coleman_evidence,0–30,R2,7.0,yes,78.6
C2_model1,T7_coleman_evidence,31–60,R5,0.7,no,86.63
C2_model1,T7_coleman_evidence,31–60,R6,38.1,no,90.3
C2_model1,T7_coleman_evidence,31–60,R7,57.5,no,90.7
C2_model1,T7_coleman_evidence,31–60,R8,3.8,yes,86.65
C2_model1,T7_coleman_evidence,61–90,R9,96.5,no,91.09
C2_model1,T7_coleman_evidence,61–90,R10,3.5,yes,86.19
C2_model1,T7_coleman_evidence,91–120,R11,98.6,no,90.44
C2_model1,T7_coleman_evidence,91–120,R12,1.4,yes,85.34
C2_model1,T7_coleman_evidence,121–150,R13,100.0,yes,89.41
C3_agnostic,T1_point_1,0–30,R1,90.7,no,81.37
C3_agnostic,T1_point_1,0–30,R2,9.3,yes,78.4
C3_agnostic,T1_point_1,31–60,R5,0.1,no,83.88
C3_agnostic,T1_point_1,31–60,R6,28.3,no,88.79
C3_agnostic,T1_point_1,31–60,R7,66.0,no,90.17
C3_agnostic,T1_point_1,31–60,R8,5.7,yes,86.46
C3_agnostic,T1_point_1,61–90,R9,94.2,no,90.28
C3_agnostic,T1_point_1,61–90,R10,5.9,yes,85.92
C3_agnostic,T1_point_1,91–120,R11,98.0,no,89.85
C3_agnostic,T1_point_1,91–120,R12,2.0,yes,85.04
C3_agnostic,T1_point_1,121–150,R13,100.0,yes,88.87
C3_agnostic,T2_point_4,0–30,R1,1.7,no,61.57
C3_agnostic,T2_point_4,0–30,R2,98.4,yes,67.44
C3_agnostic,T2_point_4,31–60,R5,0.0,no,40.99
C3_agnostic,T2_point_4,31–60,R6,0.0,no,56.37
C3_agnostic,T2_point_4,31–60,R7,7.0,no,72.62
C3_agnostic,T2_point_4,31–60,R8,93.0,yes,76.34
C3_agnostic,T2_point_4,61–90,R9,0.5,no,67.13
C3_agnostic,T2_point_4,61–90,R10,99.5,yes,74.91
C3_agnostic,T2_point_4,91–120,R11,12.0,no,71.64
C3_agnostic,T2_point_4,91–120,R12,88.0,yes,74.76
C3_agnostic,T2_point_4,121–150,R13,100.0,yes,70.71
C3_agnostic,T3_discrete,0–30,R1,61.0,no,74.64
C3_agnostic,T3_discrete,0–30,R2,39.0,yes,74.49
C3_agnostic,T3_discrete,31–60,R5,0.2,no,69.96
C3_agnostic,T3_discrete,31–60,R6,22.6,no,77.99
C3_agnostic,T3_discrete,31–60,R7,42.2,no,84.01
C3_agnostic,T3_discrete,31–60,R8,34.9,yes,82.7
C3_agnostic,T3_discrete,61–90,R9,63.5,no,82.38
C3_agnostic,T3_discrete,61–90,R10,36.5,yes,81.91
C3_agnostic,T3_discrete,91–120,R11,68.3,no,83.55
C3_agnostic,T3_discrete,91–120,R12,31.6,yes,81.3
C3_agnostic,T3_discrete,121–150,R13,100.0,yes,82.57
C3_agnostic,T4_uniform,0–30,R1,46.7,no,73.79
